,mean,sd,q5,q95
Brutal Swing,-0.0208530314290518,0.2181330403748998,-0.36399336369002866,0.35969261969461874
Wish,-0.021024743479718132,0.21183346989995147,-0.3731195301685759,0.3237946781941889
Copycat,-0.021911099760789955,0.20153806130907576,-0.34660298742675805,0.3125341982647202
Switcheroo,-0.022604980896542996,0.2239282216328124,-0.40237811863892436,0.336068936830976
Head Smash,-0.022868979570362775,0.13569795718303812,-0.24538823335227306,0.1887796170627478
Ice Spinner,-0.023237751896298908,0.1684233145819518,-0.2993250688719564,0.2554523506551854
Ice Punch,-0.023668086717618594,0.07326787954345518,-0.14474393388265375,0.09608637002231804
Rest,-0.024023303483638604,0.2136036565206595,-0.37249660346542557,0.310928287006431
Phantom Force,-0.024548893567927995,0.13442144871466133,-0.25087438910767096,0.1973813502006042
Extrasensory,-0.0258225138918299,0.21412611331634027,-0.3665488119929356,0.3324315360253082
Acupressure,-0.02593941613113117,0.20902380158221082,-0.3607450486965255,0.3053221077871402
Burning Jealousy,-0.02595926551355551,0.12975352801684154,-0.22878783418887777,0.19278241322553274
Toxic,-0.02628523207336126,0.10099344311664854,-0.1930309128946148,0.13691126839444168
Waterfall,-0.02721781119387631,0.11286495219638559,-0.20333039603867661,0.15752086645635371
Gravity,-0.02778974405451545,0.20558222579415866,-0.36747283075248344,0.3356901150054425
Baby-Doll Eyes,-0.028023735391047026,0.1913884795804866,-0.35757370940818545,0.2904705745277187
Dragon Tail,-0.028543126668749797,0.22349959047554346,-0.3974333489126849,0.3322476692661581
Soak,-0.02858164824455632,0.1482559812105983,-0.2577077390722735,0.2137484298736941
Spicy Extract,-0.02938296282466333,0.222617649565308,-0.3940932547090514,0.33532780943393903
Venoshock,-0.029417608803706953,0.21568249139370826,-0.37978394639598523,0.3309249095150707
Darkest Lariat,-0.0312936240464529,0.0558500759377143,-0.11989895051489861,0.06263427111254559
Roost,-0.032425760993246455,0.06429069635385048,-0.1371465782769263,0.06890261010017093
Snowscape,-0.03285745951546271,0.2134875329638352,-0.38953805731480173,0.3102702978149289
Psychic,-0.03381305439593487,0.04756680843975744,-0.11032816711118923,0.04485620124544402
Counter,-0.035037183055013424,0.219532916850546,-0.41311493707243113,0.3111353313840989
Bullet Punch,-0.035101869745986745,0.07569514045448401,-0.16044536864192677,0.08426508908543305
Last Resort,-0.035890082791877546,0.1241644046732486,-0.2366679131662064,0.167455498675425
Fire Fang,-0.03595304417920211,0.20977490804812995,-0.3969777703875403,0.28732470552896877
Acid Spray,-0.036611792412999146,0.1963629734484214,-0.35268430581300414,0.27614413726657683
Parabolic Charge,-0.03682723537416698,0.16440745350428665,-0.3032278156208792,0.23147571867434072
Mirror Coat,-0.03716493498116347,0.1962497159613131,-0.3624152261996503,0.27944381770696186
Mean Look,-0.03730344278504893,0.22238561014660824,-0.4167965513076658,0.3054557209092413
Trailblaze,-0.037972089076455336,0.16376170577081176,-0.3266720426689515,0.23350267131093616
Psychic Terrain,-0.038974787313563526,0.17668127373922943,-0.3106891719582201,0.26645990618063964
Burn Up,-0.039974858978491325,0.1707489655862153,-0.3189267334516028,0.24556375700676364
Sludge Bomb,-0.040747620702375975,0.05217462208638986,-0.1259318371202368,0.05034643115032644
Aqua Step,-0.04105605272481766,0.19990799859585434,-0.3395064826967584,0.29645546542184914
Headlong Rush,-0.04127963938450629,0.16119289199110412,-0.3012879045376078,0.21852370161077245
Eerie Impulse,-0.041289856660250576,0.20852558317447972,-0.37695343679774673,0.2994587352276616
Metal Burst,-0.04232214232325852,0.232592990336068,-0.4261274379908146,0.3128091244814513
Tail Glow,-0.04247631111076314,0.2232807245941339,-0.37324358008858755,0.34411206866820115
Blizzard,-0.042892340757324766,0.0547292606975772,-0.13142244868033406,0.05222382092699328
Facade,-0.04418508664773052,0.20267794625530042,-0.35963827056732034,0.3012328165879901
Superpower,-0.04565857698896521,0.14841946835056097,-0.28310118067373174,0.19219152648475243
Mud-Slap,-0.04587022212676373,0.21752985284622528,-0.4002976869097277,0.3142318244125613
Mystical Fire,-0.04672982525497294,0.1611045929768397,-0.31994931144102057,0.21366607999128
Rising Voltage,-0.04733401626403014,0.156904773689956,-0.3154162586556454,0.19839650951417903
Sparkling Aria,-0.04784459435729925,0.2054548501306513,-0.36521999552530904,0.2939580869310183
Minimize,-0.04839197205666486,0.20247369138603008,-0.3890399605338579,0.28498868564736374
Shadow Ball,-0.04883218390744566,0.037854521126844044,-0.1129855255850276,0.010358313727741292
Whirlwind,-0.04887781267345151,0.20585680791876182,-0.39210775201635906,0.28566232998036795
Focus Energy,-0.04899839561033897,0.2111714448890119,-0.3941860901967729,0.2862360473434899
Pollen Puff,-0.049474842183750575,0.16322346779516106,-0.31428752204070054,0.2395956931029859
Lunge,-0.05003055275104869,0.21915662320359286,-0.4120082295232885,0.299246162565511
Dazzling Gleam,-0.05040195435523486,0.05031253085936617,-0.1312470831850995,0.0315662956182693
